Wall time,Step,Value
1669212248.8358808,1,2.1912338733673096
1669212249.2094529,2,1.9546222686767578
1669212253.379862,3,1.7934092283248901
1669212253.7505038,4,1.3808714151382446
1669212257.9326606,5,1.3190555572509766
1669212258.3043277,6,1.0159190893173218
1669212262.4970696,7,0.9610557556152344
1669212262.8570592,8,0.6695209741592407
1669212267.057467,9,0.5514654517173767
1669212267.4219658,10,0.3551371395587921
1669212271.6330662,11,0.3509938716888428
1669212272.015699,12,0.24620437622070312
1669212276.2286155,13,0.23246636986732483
1669212276.585113,14,0.19093215465545654
1669212280.80015,15,0.17192156612873077
1669212281.1712024,16,0.1262744814157486
1669212285.377843,17,0.07784734666347504
1669212285.7485378,18,0.12825283408164978
1669212289.9572065,19,0.06430357694625854
1669212290.3126783,20,0.07926443964242935
1669212294.5463436,21,0.07398500293493271
1669212294.9235537,22,0.061224400997161865
1669212299.3598278,23,0.0456218384206295
1669212299.7609568,24,0.04140762239694595
1669212304.4042525,25,0.03305475413799286
1669212304.7959259,26,0.02815967984497547
1669212309.085859,27,0.02715107798576355
1669212309.4893105,28,0.02609642595052719
1669212313.792416,29,0.034174688160419464
1669212314.1800313,30,0.024584025144577026
1669212318.4901521,31,0.02467130869626999
1669212318.876457,32,0.02056991495192051
1669212323.2131987,33,0.017845531925559044
1669212323.6013193,34,0.014617715030908585
1669212327.9389064,35,0.014486949890851974
1669212328.3253,36,0.010889498516917229
1669212332.6570623,37,0.013522688299417496
1669212333.0442312,38,0.012604661285877228
1669212337.3704264,39,0.01217664498835802
1669212337.7650986,40,0.009890573099255562
1669212342.0967915,41,0.007862546481192112
1669212342.4890099,42,0.006357583217322826
1669212346.899084,43,0.0060207778587937355
1669212347.2879162,44,0.005530848167836666
1669212351.6215525,45,0.005239481572061777
1669212352.0065958,46,0.004834610968828201
1669212356.3333955,47,0.005089867860078812
1669212356.7186706,48,0.006622136104851961
1669212361.047095,49,0.010045625269412994
1669212361.4330494,50,0.013316472992300987
1669212365.7587054,51,0.012494059279561043
1669212366.1454678,52,0.008612473495304585
1669212370.4717414,53,0.011053667403757572
1669212370.873946,54,0.006525170523673296
1669212375.2064207,55,0.009730939753353596
1669212375.5947373,56,0.00869291927665472
1669212379.9332266,57,0.010757556185126305
1669212380.3241618,58,0.028186045587062836
1669212384.6619918,59,0.013800282031297684
1669212385.0561154,60,0.016578173264861107
1669212389.3913689,61,0.010265808552503586
1669212389.7813978,62,0.007499377708882093
1669212394.1134849,63,0.009894851595163345
1669212394.5143876,64,0.006259755231440067
1669212398.8471444,65,0.0048692068085074425
1669212399.2332177,66,0.008450493216514587
1669212403.5639098,67,0.016315078362822533
1669212403.9530365,68,0.012382437475025654
1669212408.2964625,69,0.011737692169845104
1669212408.6804044,70,0.038113661110401154
1669212413.0282586,71,0.017711786553263664
1669212413.4127226,72,0.01336926780641079
1669212417.749024,73,0.005380521062761545
1669212418.1386406,74,0.006826332770287991
