Wall time,Step,Value
1669206737.9621599,1,2.205453395843506
1669206738.350948,2,2.0857911109924316
1669206742.5656345,3,1.8031173944473267
1669206742.956727,4,1.325347900390625
1669206747.1757169,5,1.1969667673110962
1669206747.5642414,6,0.8630202412605286
1669206751.8013787,7,0.8006775379180908
1669206752.1893,8,0.5658066868782043
1669206756.4344666,9,0.4156532287597656
1669206756.814861,10,0.26149001717567444
1669206761.0593362,11,0.24940958619117737
1669206761.4341478,12,0.1630462259054184
1669206765.680758,13,0.138621523976326
1669206766.0543427,14,0.11778640002012253
1669206770.3029063,15,0.11274796724319458
1669206770.69247,16,0.09250291436910629
1669206774.9542851,17,0.08675824105739594
1669206775.330395,18,0.08741658180952072
1669206779.586879,19,0.06612046808004379
1669206779.9744556,20,0.04007343202829361
1669206784.2245748,21,0.0525735542178154
1669206784.6096785,22,0.04741669073700905
1669206788.868661,23,0.03751636669039726
1669206789.2711537,24,0.04564574360847473
1669206793.5285282,25,0.03720170632004738
1669206793.9186466,26,0.035132694989442825
1669206798.1734324,27,0.04624024033546448
1669206798.5643964,28,0.04225213825702667
1669206802.8316855,29,0.048404302448034286
1669206803.2246075,30,0.03291722387075424
1669206807.4868882,31,0.023167166858911514
1669206807.8667183,32,0.022538991644978523
1669206812.1373408,33,0.02179587446153164
1669206812.514069,34,0.01504007913172245
1669206816.7821608,35,0.022005204111337662
1669206817.1587613,36,0.02502356469631195
1669206821.4451358,37,0.0258365236222744
1669206821.8211555,38,0.0263079684227705
1669206826.1273868,39,0.02581534907221794
1669206826.5281813,40,0.020491600036621094
1669206830.856609,41,0.017847906798124313
1669206831.2378447,42,0.015323138795793056
1669206835.6524622,43,0.013627618551254272
1669206836.033563,44,0.017119845375418663
1669206840.365987,45,0.015622898936271667
1669206840.743983,46,0.015866026282310486
1669206845.0766523,47,0.019255243241786957
1669206845.4526012,48,0.027238961309194565
1669206849.8061182,49,0.02090740017592907
1669206850.1835866,50,0.02054564282298088
1669206854.556546,51,0.014798915013670921
1669206854.9328463,52,0.016821198165416718
1669206859.3007574,53,0.019186856225132942
1669206859.6796627,54,0.017632005736231804
1669206863.9882402,55,0.012352916412055492
1669206864.367503,56,0.018195180222392082
1669206868.7390018,57,0.04568867012858391
1669206869.1198897,58,0.03883025795221329
1669206873.4963906,59,0.021790755912661552
1669206873.876645,60,0.05045492202043533
1669206878.2659445,61,0.02541453391313553
1669206878.6472645,62,0.017390985041856766
1669206883.031099,63,0.021137507632374763
1669206883.41804,64,0.04579806700348854
1669206887.7962956,65,0.012947482988238335
1669206888.1786528,66,0.01427437923848629
1669206892.5623183,67,0.02675417996942997
1669206892.9419522,68,0.015902476385235786
1669206897.2820992,69,0.031773630529642105
1669206897.6600878,70,0.02721332758665085
1669206902.0355525,71,0.01827753148972988
1669206902.417083,72,0.027846621349453926
1669206906.8971279,73,0.016902826726436615
1669206907.2766507,74,0.040085166692733765
1669206911.6836066,75,0.01237624604254961
1669206912.059938,76,0.015898173674941063
1669206916.4444125,77,0.009583137929439545
1669206916.8228567,78,0.011439843103289604
1669206921.1880188,79,0.01437787339091301
1669206921.5659018,80,0.011475028470158577
1669206925.9518988,81,0.01191926933825016
1669206926.3285775,82,0.011219669133424759
1669206930.7003295,83,0.04259762912988663
1669206931.0762706,84,0.03203801438212395
1669206935.514391,85,0.02808300405740738
1669206935.8970792,86,0.020120199769735336
1669206940.2793574,87,0.032304439693689346
1669206940.6659863,88,0.027492377907037735
1669206945.0529637,89,0.015860069543123245
1669206945.432356,90,0.013785801827907562
1669206949.8356833,91,0.014611009508371353
1669206950.2157269,92,0.011158059351146221
1669206954.5952506,93,0.018510740250349045
1669206954.9764733,94,0.013177561573684216
1669206959.3555138,95,0.011616237461566925
1669206959.7361789,96,0.007040481083095074
1669206964.1043677,97,0.013898620381951332
1669206964.48563,98,0.015612529590725899
1669206968.8666174,99,0.005323893390595913
1669206970.1698015,100,0.0032486121635884047
1669206975.4955378,101,0.019764505326747894
1669206976.7953842,102,0.004477289039641619
1669206982.166974,103,0.006056427955627441
1669206983.4660313,104,0.014303687028586864
1669206988.7915204,105,0.028333449736237526
1669206990.1270967,106,0.019463708624243736
1669206995.4848034,107,0.023557312786579132
1669206996.7878284,108,0.05840737745165825
1669207002.1213682,109,0.08418001234531403
1669207003.4329681,110,0.08498740196228027
1669207008.789286,111,0.1175563633441925
1669207010.0971117,112,0.10087308287620544
1669207015.436793,113,0.0826743096113205
1669207016.7266521,114,0.024207713082432747
1669207022.0797281,115,0.016254037618637085
1669207023.3882117,116,0.011859925463795662
1669207028.7152743,117,0.011748988181352615
1669207030.015716,118,0.015430123545229435
1669207035.4045606,119,0.011686709709465504
1669207036.709664,120,0.01640031673014164
1669207042.0508473,121,0.01807064563035965
1669207043.346855,122,0.03076469525694847
1669207048.69496,123,0.02887360006570816
1669207050.0046055,124,0.05126470327377319
1669207055.3386552,125,0.047203030437231064
1669207056.700765,126,0.07552529871463776
1669207062.03748,127,0.047233786433935165
1669207063.339346,128,0.02762083150446415
1669207068.6935346,129,0.021505320444703102
1669207070.0126436,130,0.02219538949429989
1669207075.411741,131,0.010751862078905106
1669207076.7247884,132,0.010045478120446205
1669207082.0601332,133,0.0030977516435086727
1669207083.377238,134,0.011035777628421783
1669207088.736897,135,0.022893566638231277
1669207090.0421002,136,0.004355284851044416
1669207095.3732057,137,0.026330741122364998
1669207096.6844227,138,0.008767248131334782
1669207102.0115287,139,0.009035849012434483
1669207103.4681137,140,0.02655651979148388
1669207108.8370864,141,0.020081210881471634
1669207110.144909,142,0.018158555030822754
1669207115.4962115,143,0.012438357807695866
1669207116.8023884,144,0.011214399710297585
1669207122.1637619,145,0.005161495879292488
1669207123.4646,146,0.004885862115770578
1669207128.8196614,147,0.00893763080239296
1669207130.117242,148,0.01780121587216854
1669207135.5011606,149,0.004800231195986271
1669207136.8132646,150,0.01117548905313015
1669207142.1693695,151,0.013653751462697983
1669207143.4766467,152,0.008873985148966312
1669207148.79624,153,0.0037223417311906815
1669207150.0979204,154,0.008814851753413677
1669207155.4403954,155,0.004808366764336824
1669207156.754408,156,0.0025765071623027325
1669207162.1169245,157,0.001622484647668898
1669207163.4246254,158,0.00116444518789649
1669207168.7726924,159,0.0011430153390392661
1669207170.0715208,160,0.0015670486027374864
1669207175.4194324,161,0.0016805485356599092
1669207176.7207525,162,0.0025540953502058983
1669207182.059163,163,0.005710187833756208
1669207183.360716,164,0.0013189185410737991
1669207188.7236285,165,0.0035720805171877146
1669207190.0200145,166,0.009180366061627865
1669207195.3710623,167,0.003805277170613408
1669207196.671721,168,0.0023294168058782816
1669207202.025285,169,0.007304382510483265
1669207203.4551477,170,0.021258903667330742
1669207208.7817242,171,0.01894415356218815
1669207210.107296,172,0.03999658301472664
1669207215.467472,173,0.047128062695264816
1669207216.7728271,174,0.013186360709369183
1669207222.1131573,175,0.0076393429189920425
1669207223.4257452,176,0.04288491979241371
1669207228.7736967,177,0.008767332881689072
