Wall time,Step,Value
1669205342.928097,89,98.13953399658203
1669205347.161852,90,98.13953399658203
1669205351.3996851,91,100.0
1669205355.6309571,92,100.0
1669205359.864719,93,100.0
1669205364.0991817,94,100.0
1669205368.339425,95,100.0
1669205372.5874457,96,100.0
1669205376.8336148,97,100.0
1669205381.0695984,98,100.0
1669205385.3103492,99,100.0
1669205390.4744377,100,100.0
1669205395.6357322,101,99.53488159179688
1669205400.8114743,102,98.60465240478516
1669205405.9884846,103,95.81395721435547
1669205411.1502259,104,98.13953399658203
1669205416.31447,105,98.60465240478516
1669205421.4812038,106,99.53488159179688
1669205426.6500368,107,96.27906799316406
1669205431.817632,108,99.53488159179688
1669205436.9808474,109,99.06977081298828
1669205442.1512296,110,100.0
1669205447.3180027,111,100.0
1669205452.4969497,112,100.0
1669205457.6659932,113,100.0
1669205462.838056,114,100.0
1669205468.0029433,115,99.53488159179688
1669205473.1698782,116,100.0
1669205478.330661,117,100.0
1669205483.4971857,118,100.0
1669205488.662281,119,100.0
1669205493.8458242,120,100.0
1669205499.0066628,121,100.0
1669205504.1743453,122,100.0
1669205509.3398979,123,100.0
1669205514.5100482,124,100.0
1669205519.747013,125,100.0
1669205524.9193454,126,100.0
1669205530.092549,127,100.0
1669205535.2744153,128,100.0
1669205540.4421968,129,100.0
1669205545.6149168,130,99.53488159179688
1669205550.785497,131,98.60465240478516
1669205555.9582515,132,99.53488159179688
1669205561.131107,133,98.60465240478516
1669205566.3002331,134,99.06977081298828
1669205571.4728954,135,99.06977081298828
1669205576.6423202,136,99.53488159179688
1669205581.81042,137,98.60465240478516
1669205586.9759288,138,99.06977081298828
1669205592.1484,139,98.60465240478516
1669205597.321483,140,96.74418640136719
1669205602.4952557,141,98.13953399658203
1669205607.6652067,142,99.53488159179688
1669205612.8414183,143,100.0
1669205618.0290956,144,99.53488159179688
1669205623.2059686,145,100.0
1669205628.3861597,146,100.0
1669205633.5574894,147,99.53488159179688
1669205638.7292838,148,100.0
1669205643.9041007,149,100.0
1669205649.0733025,150,100.0
1669205654.2464333,151,100.0
1669205659.416209,152,100.0
1669205664.5889144,153,100.0
1669205669.7642484,154,100.0
1669205674.9388206,155,100.0
1669205680.1159217,156,100.0
1669205685.2901316,157,100.0
1669205690.4684875,158,100.0
1669205695.6556246,159,100.0
1669205700.8396902,160,100.0
1669205706.0248437,161,100.0
1669205711.2008157,162,94.4186019897461
1669205716.3788402,163,96.27906799316406
1669205721.5542336,164,92.55813598632812
1669205726.728616,165,99.06977081298828
1669205731.9071681,166,96.27906799316406
1669205737.0850167,167,99.53488159179688
1669205742.2577145,168,100.0
1669205747.431842,169,98.13953399658203
1669205752.6072652,170,98.13953399658203
1669205757.7863808,171,100.0
1669205762.9621036,172,100.0
1669205768.1387427,173,100.0
1669205773.3234463,174,100.0
1669205778.5101051,175,100.0
1669205783.6903534,176,100.0
1669205788.877006,177,100.0
1669205794.0514202,178,100.0
1669205799.2315443,179,100.0
1669205804.411773,180,100.0
1669205809.5874176,181,99.06977081298828
1669205814.7627866,182,98.60465240478516
1669205819.9375417,183,96.74418640136719
1669205825.114489,184,98.60465240478516
1669205830.291052,185,95.34883880615234
1669205835.4713166,186,89.30232238769531
1669205840.6544147,187,92.55813598632812
1669205845.8387084,188,93.9534912109375
1669205851.022993,189,98.60465240478516
1669205856.2152836,190,96.74418640136719
1669205861.4082325,191,98.13953399658203
1669205866.5900178,192,98.13953399658203
1669205871.7756264,193,97.6744155883789
1669205876.9529912,194,99.06977081298828
1669205882.1336591,195,99.53488159179688
1669205887.3100832,196,100.0
1669205892.4901848,197,99.53488159179688
1669205897.6677673,198,100.0
1669205902.8516252,199,100.0
1669205908.0354373,200,100.0
1669205913.2186353,201,100.0
1669205918.4005089,202,100.0
1669205923.5772967,203,100.0
1669205928.7577903,204,100.0
1669205933.9416406,205,100.0
1669205939.1302595,206,100.0
1669205944.3268223,207,100.0
1669205949.5698874,208,100.0
1669205954.753617,209,100.0
1669205959.9373298,210,100.0
1669205965.1131737,211,100.0
1669205970.291565,212,100.0
1669205975.4720032,213,100.0
1669205980.6535006,214,100.0
1669205985.8270907,215,100.0
1669205991.0001562,216,100.0
1669205996.1811576,217,100.0
1669206001.3570538,218,100.0
1669206006.5359883,219,100.0
1669206011.71452,220,100.0
1669206016.897437,221,100.0
1669206022.085737,222,100.0
1669206027.274484,223,100.0
1669206032.4608693,224,100.0
1669206037.6406085,225,100.0
1669206042.8178742,226,100.0
1669206047.9993432,227,100.0
1669206053.175466,228,100.0
1669206058.3488567,229,100.0
1669206063.528335,230,100.0
1669206068.7048128,231,100.0
1669206073.8851085,232,100.0
1669206079.0605335,233,100.0
1669206084.2387125,234,99.53488159179688
1669206089.4116302,235,100.0
1669206094.5909803,236,100.0
1669206099.766995,237,100.0
1669206104.9568584,238,100.0
1669206110.134127,239,100.0
