Wall time,Step,Value
1669204953.1006465,1,2.3145198822021484
1669204960.8580794,2,2.263498544692993
1669204968.6043115,3,2.1464719772338867
1669204976.3977385,4,1.984931468963623
1669204984.160072,5,1.7565556764602661
1669204989.0528853,6,1.5196595191955566
1669204993.416565,7,1.3639694452285767
1669204997.7193651,8,1.2653422355651855
1669205002.016224,9,1.1586356163024902
1669205006.2985024,10,0.9660341143608093
1669205010.576545,11,0.8919148445129395
1669205014.8498044,12,0.7770242094993591
1669205019.123533,13,0.6624515056610107
1669205023.3869088,14,0.5773274898529053
1669205027.6435213,15,0.543578565120697
1669205031.9237027,16,0.5011441111564636
1669205036.1827238,17,0.4351549446582794
1669205040.4507022,18,0.39413541555404663
1669205044.7161186,19,0.32546648383140564
1669205048.977312,20,0.26476943492889404
1669205053.2474325,21,0.23536938428878784
1669205057.5253692,22,0.21597030758857727
1669205061.8095648,23,0.20219255983829498
1669205066.0724273,24,0.18528364598751068
1669205070.33283,25,0.17061826586723328
1669205074.5898466,26,0.15522685647010803
1669205078.848666,27,0.1553102731704712
1669205083.1102164,28,0.12746462225914001
1669205087.3661878,29,0.12092659622430801
1669205091.6116712,30,0.10552527755498886
1669205095.8731775,31,0.10289721190929413
1669205100.1361094,32,0.1127050369977951
1669205104.4055738,33,0.09657111763954163
1669205108.668934,34,0.08122004568576813
1669205112.9256508,35,0.0761665403842926
1669205117.176874,36,0.0652957558631897
1669205121.4379172,37,0.0678805559873581
1669205125.697634,38,0.06198232248425484
1669205129.9560697,39,0.05470111966133118
1669205134.2109857,40,0.052823957055807114
1669205138.453616,41,0.052898261696100235
1669205142.7054296,42,0.043060239404439926
1669205147.0698135,43,0.03960101306438446
1669205151.3463614,44,0.03398636355996132
1669205155.611863,45,0.032633718103170395
1669205159.9063892,46,0.030090253800153732
1669205164.1808248,47,0.028873799368739128
1669205168.4618866,48,0.03041834384202957
1669205172.745212,49,0.026500405743718147
1669205177.016248,50,0.03452581912279129
1669205181.2864907,51,0.030536863952875137
1669205185.5546627,52,0.026137731969356537
1669205189.8195615,53,0.03895795717835426
1669205194.0835319,54,0.03321659564971924
1669205198.3328834,55,0.05886291712522507
1669205202.5890064,56,0.05256669223308563
1669205206.840789,57,0.04391208291053772
1669205211.0927835,58,0.038919080048799515
1669205215.347333,59,0.04158385843038559
1669205219.60087,60,0.02778163179755211
1669205223.8678486,61,0.024981236085295677
1669205228.1394563,62,0.025196628645062447
1669205232.4258287,63,0.02090613916516304
1669205236.712089,64,0.015303008258342743
1669205240.9706159,65,0.012965262867510319
1669205245.227549,66,0.013297746889293194
1669205249.4788277,67,0.012414384633302689
1669205253.7310362,68,0.012698432430624962
1669205257.9798434,69,0.015228775329887867
1669205262.2480874,70,0.011296236887574196
1669205266.4975333,71,0.008944864384829998
1669205270.7465973,72,0.009231314063072205
1669205274.9903893,73,0.007947213016450405
1669205279.2381957,74,0.008127354085445404
1669205283.4831045,75,0.006796345114707947
1669205287.744229,76,0.007484056055545807
1669205291.9937165,77,0.007358349394053221
1669205296.2434418,78,0.005733218044042587
1669205300.4968562,79,0.005999783985316753
1669205304.7540448,80,0.00670751603320241
1669205309.003403,81,0.03952927887439728
1669205313.2464516,82,0.01800280250608921
1669205317.4915442,83,0.03920501843094826
1669205321.7416205,84,0.10272135585546494
1669205325.9769437,85,0.156940296292305
1669205330.2161362,86,0.13961386680603027
1669205334.453059,87,0.1207432895898819
